Unnamed: 0,review
126,운동할때 입으려고 샀는데 아주 딱이네요  디자인도 이뻐요 굿굿 
127,편하고 색도 예쁘고 재질도 괜찮고 로고 또한 예쁜  
128,음 사이즈 좋고 편하기 막 입기 좋아요 색은 생각보다 진하진 않네요
129,완전 예쁘네요 핏도 좋고 색상도 너무 좋고    진짜 짱입니다
130,옷 색감이 너무 이쁘고 사이즈도 딱 맞아서 너무 이뻐요
131,제가 신장이 많이 짧고 몸도 많이 말라서 너무 박시하면 어떡하지 고민 많았는데 고민은 무슨   배송 오자마자 환불 안한단 마인드로 택 컷  하고 바로 착용 해 봤는데 이게 무슨   내가 청이 이렇게 잘 받는 얼굴이였다고  싶을 정도로 찰떡인 옷이였어요  청자켓 청셔츠 한번도 안 입어 봤는데 자주 입을 거 같아요  폼도 괜찮고 기장도 만족   하오츠 
132,빳빳하지 않아서 좋아요 세탁해도 질 괜찮네용 굿
133,청셔츠하나 장만해야겠다 하고 좀 루즈한 핏이랑 넣입도 자연스럽기 떨어지는 옷 찾고있었는데 직접 입어보니까 완전 만족입니당
134,지금 입기엔 조금 덥지만 핏이나 색감이 너무 예뻐서 놀러갈때 입기 좋은 것 같아요 
135,여름에 시원한 느낌을 내고싶어서 구입했습니다  청셔츠는 스타일하기가 까다로운 옷이기에 코디에 있어 고민을 많이 했지매 만족스럽게 스타일링 한 것 같습니다  옷이 얇고 시원해서 한여름에도 입기 좋습니다  소재는 부드러워 피부가 예민하신분도 착용하실 수 있을거에요 
136,오랜기다림  그리고 또 한번의 사이즈 교환 끝에 받았어요   핏이며 색상빠짐 나쁘지 않아요   근데 단추가 너무 싼티 나요  ㅠ 가격 생각하면 참을만 하지만 좀 그래요   다만   핏이 이뻐 품으려 합니다
137,생각보다 엄청 두꺼워서 더울때는 좀 힘들더라고요  품이 엄청 커서 여자가 입었을때 뭔가 웃기긴했어요 팔 롤업해서 입으면 괜찮아요  가격이 저렴하긴 하지만 단추가 좀만 더 고급스러웠다면 더 좋을 듯 해요   
138,얇고 생각보다 시원합니다 사이즈 딱 맞고 핏도 좋아요
